time,Temp_C,Humidity_%,Dew_Point_C,Wind_Speed_kmh,Visibility_m
2023-07-01 00:00:00,25.2,83,22.1,3.8,
2023-07-01 01:00:00,25.4,80,21.6,4.7,
2023-07-01 02:00:00,25.6,76,21.0,5.7,
2023-07-01 03:00:00,24.9,80,21.3,4.0,
2023-07-01 04:00:00,24.3,85,21.6,3.4,
2023-07-01 05:00:00,25.0,88,23.0,5.0,
2023-07-01 06:00:00,25.9,87,23.6,4.3,
2023-07-01 07:00:00,27.3,82,24.0,1.9,
2023-07-01 08:00:00,28.9,72,23.3,10.4,
2023-07-01 09:00:00,29.9,66,22.9,14.0,
2023-07-01 10:00:00,30.8,62,22.7,14.4,
2023-07-01 11:00:00,31.7,60,22.9,13.7,
2023-07-01 12:00:00,32.5,57,22.9,13.4,
2023-07-01 13:00:00,32.9,55,22.7,13.1,
2023-07-01 14:00:00,32.9,54,22.5,13.0,
2023-07-01 15:00:00,32.7,55,22.4,11.9,
2023-07-01 16:00:00,31.3,58,22.1,11.3,
2023-07-01 17:00:00,31.5,55,21.5,12.1,
2023-07-01 18:00:00,29.7,63,22.0,5.8,
2023-07-01 19:00:00,28.7,66,21.8,5.4,
2023-07-01 20:00:00,28.5,65,21.4,7.2,
2023-07-01 21:00:00,28.2,66,21.4,6.1,
2023-07-01 22:00:00,27.0,76,22.3,5.4,
2023-07-01 23:00:00,26.7,75,21.9,4.4,
2023-07-02 00:00:00,25.9,79,22.0,4.0,
2023-07-02 01:00:00,25.2,83,22.2,3.2,
2023-07-02 02:00:00,24.7,86,22.2,2.6,
2023-07-02 03:00:00,24.5,87,22.1,3.5,
2023-07-02 04:00:00,24.5,87,22.2,3.3,
2023-07-02 05:00:00,24.5,92,23.1,3.6,
2023-07-02 06:00:00,25.7,89,23.7,3.3,
2023-07-02 07:00:00,27.3,81,23.6,1.5,
2023-07-02 08:00:00,28.6,75,23.6,4.2,
2023-07-02 09:00:00,29.4,70,23.3,13.5,
2023-07-02 10:00:00,30.7,64,23.1,15.1,
2023-07-02 11:00:00,31.7,61,23.1,13.4,
2023-07-02 12:00:00,32.5,58,23.2,12.1,
2023-07-02 13:00:00,32.7,58,23.3,10.8,
2023-07-02 14:00:00,32.7,57,23.2,9.3,
2023-07-02 15:00:00,32.2,58,23.0,9.2,
2023-07-02 16:00:00,32.0,58,22.8,8.4,
2023-07-02 17:00:00,32.7,51,21.1,7.3,
2023-07-02 18:00:00,30.0,72,24.4,5.6,
2023-07-02 19:00:00,28.8,72,23.2,4.8,
2023-07-02 20:00:00,27.9,74,22.8,5.1,
2023-07-02 21:00:00,27.5,72,22.1,4.4,
2023-07-02 22:00:00,27.0,74,21.9,3.2,
2023-07-02 23:00:00,26.6,75,21.7,3.6,
2023-07-03 00:00:00,26.0,77,21.6,3.6,
2023-07-03 01:00:00,25.5,81,22.1,2.3,
2023-07-03 02:00:00,25.6,79,21.6,3.1,
2023-07-03 03:00:00,25.6,79,21.8,3.2,
2023-07-03 04:00:00,25.2,82,21.9,3.8,
2023-07-03 05:00:00,25.1,90,23.3,3.6,
2023-07-03 06:00:00,26.5,88,24.3,4.0,
2023-07-03 07:00:00,27.8,85,25.0,1.8,
2023-07-03 08:00:00,29.2,77,24.6,5.9,
2023-07-03 09:00:00,30.3,70,24.3,10.2,
2023-07-03 10:00:00,31.6,62,23.5,9.6,
2023-07-03 11:00:00,32.9,58,23.5,7.1,
2023-07-03 12:00:00,33.7,55,23.4,5.6,
2023-07-03 13:00:00,34.4,51,22.6,7.1,
2023-07-03 14:00:00,33.5,51,22.1,2.5,
2023-07-03 15:00:00,30.5,66,23.4,8.1,
2023-07-03 16:00:00,30.9,65,23.5,4.0,
2023-07-03 17:00:00,31.4,64,23.7,7.3,
2023-07-03 18:00:00,30.8,64,23.3,3.6,
2023-07-03 19:00:00,28.2,78,24.0,5.2,
2023-07-03 20:00:00,27.0,85,24.2,8.0,
2023-07-03 21:00:00,26.2,89,24.2,10.4,
2023-07-03 22:00:00,25.4,93,24.2,9.3,
2023-07-03 23:00:00,25.1,96,24.3,7.7,
2023-07-04 00:00:00,24.8,97,24.3,6.4,
2023-07-04 01:00:00,24.9,97,24.3,5.8,
2023-07-04 02:00:00,25.0,96,24.3,7.0,
2023-07-04 03:00:00,24.1,96,23.4,14.8,
2023-07-04 04:00:00,24.0,96,23.4,5.7,
2023-07-04 05:00:00,25.4,90,23.7,3.2,
2023-07-04 06:00:00,26.1,92,24.7,3.3,
2023-07-04 07:00:00,26.9,89,25.0,10.3,
2023-07-04 08:00:00,26.5,89,24.6,4.6,
2023-07-04 09:00:00,27.9,85,25.1,4.7,
2023-07-04 10:00:00,29.1,78,24.9,5.2,
2023-07-04 11:00:00,30.2,72,24.7,1.5,
2023-07-04 12:00:00,31.8,67,24.8,3.5,
2023-07-04 13:00:00,32.0,62,23.8,3.8,
2023-07-04 14:00:00,31.3,61,23.0,1.9,
2023-07-04 15:00:00,29.1,78,24.9,10.0,
2023-07-04 16:00:00,27.8,81,24.2,7.3,
2023-07-04 17:00:00,26.4,92,25.0,4.0,
2023-07-04 18:00:00,25.9,95,25.1,5.7,
2023-07-04 19:00:00,25.6,96,25.0,3.5,
2023-07-04 20:00:00,25.8,96,25.0,7.4,
2023-07-04 21:00:00,25.0,97,24.6,9.2,
2023-07-04 22:00:00,24.8,97,24.3,7.6,
2023-07-04 23:00:00,24.2,97,23.8,5.2,
2023-07-05 00:00:00,24.2,98,23.8,4.3,
2023-07-05 01:00:00,24.1,99,23.9,3.5,
2023-07-05 02:00:00,24.0,97,23.6,6.7,
2023-07-05 03:00:00,24.0,97,23.5,7.6,
2023-07-05 04:00:00,23.5,97,23.0,7.8,
2023-07-05 05:00:00,24.2,94,23.2,2.0,
2023-07-05 06:00:00,24.8,92,23.4,0.0,
2023-07-05 07:00:00,24.5,96,23.8,2.9,
2023-07-05 08:00:00,26.8,85,24.1,4.7,
2023-07-05 09:00:00,27.7,81,24.1,1.5,
2023-07-05 10:00:00,28.2,78,24.0,3.3,
2023-07-05 11:00:00,29.6,75,24.6,2.1,
2023-07-05 12:00:00,30.9,69,24.5,3.4,
2023-07-05 13:00:00,30.5,66,23.5,2.9,
2023-07-05 14:00:00,26.5,87,24.1,10.9,
